;NUTS_ID;Ln_BA;Fr_An_Observed;Fr_Li_Observed;Fr_An_Predicted;Fr_Li_Predicted;std;BA_Human_km2;BA_Lightning_km2
1218;PL911;11.512915433631191;1.0;0.0;;;;0.0;0.0
1219;PT11E;2.9348607628855423;0.9495430687561506;0.05045693124384942;;;;0.4133895763816644;0.02196674392003828
1220;PL224;7.631359815173198;0.9995152342136919;0.0004847657863080723;;;;0.01676277975473244;8.129963236531285e-06
1221;PL225;7.253341699117126;0.999292695473251;0.000707304526749053;;;;0.0039837080307428266;2.819689102257286e-06
1222;PL227;5.631245916756763;0.996428692901602;0.0035713070983980355;;;;0.008629458900737177;3.0928904443521324e-05
1223;PT150;6.468044508264285;0.9984501475760705;0.0015498524239294653;;;;1.0160870708626446;0.0015772294826366107
1224;PT16H;2.867065213356969;0.9461941311691252;0.05380586883087479;;;;0.784712129480252;0.04462310272062342
1225;PL418;5.428336852514609;0.9956287996784404;0.004371200321559576;;;;0.011633574266569179;5.107594676985808e-05
1226;PT16I;2.652594211101865;0.9341707033965878;0.06582929660341219;;;;1.2830157643082536;0.09041176841492682
1227;PL814;6.7538322727657825;0.9988349578287552;0.0011650421712448011;;;;0.0019222884640374062;2.2421593360822615e-06
1228;PL517;8.007725619439343;0.9996672298162085;0.0003327701837915198;;;;0.05331924260158026;1.774896048499508e-05
1229;PL616;8.646289764750843;0.9998242530755712;0.00017574692442878792;;;;0.005772577179106385;1.0146910140807278e-06
1230;PL912;7.369061472728804;0.9993699376238246;0.0006300623761753554;;;;0.010578249269697469;6.669158856716789e-06
1231;PL913;11.153475244944193;0.9999856747890613;1.4325210938692656e-05;;;;0.0019245030540663507;2.7569307137773405e-08
1232;PL22C;4.479119051987484;0.9887838278447995;0.011216172155200543;;;;0.0;0.0
1233;PL411;5.647925413958254;0.996487558987559;0.00351244101244097;;;;0.031232267690196693;0.00011008817617155081
1234;PL415;11.512915433631191;1.0;0.0;;;;0.0;0.0
1235;PL217;5.913426511126702;0.9973043765735066;0.002695623426493432;;;;0.007814467169413341;2.112179717871955e-05
1236;PL414;6.925815347660443;0.999018861541064;0.0009811384589359928;;;;0.006729248373272238;6.608808534971575e-06
1237;RO122;11.512915433631191;1.0;0.0;;;;0.12014449601871775;1.2014690271705541e-06
1238;PL424;11.512915433631191;1.0;0.0;;;;0.0;0.0
1239;RO123;11.512915433631191;1.0;0.0;;;;0.025843438502882083;2.584395619072144e-07
1240;RO216;11.512915433631191;1.0;0.0;;;;0.5710300188349583;5.7104145753106295e-06
1241;SE122;1.3333846745043652;0.7913999485129138;0.20860005148708616;;;;0.0;0.0
1242;RO221;11.512915433631191;1.0;0.0;;;;0.6585952865282343;6.586084793092084e-06
1243;RO316;7.3702726224539665;0.9993706997818426;0.0006293002181574359;;;;0.15180486178533895;9.55909880685224e-05
1244;PL428;8.051228960373244;0.9996813915439594;0.0003186084560405922;;;;0.030920101901404918;9.85454566900662e-06
1245;PL431;4.714508025636996;0.9911153691004437;0.008884630899556267;;;;0.032562587079432236;0.00029189999101517095
1246;RO317;11.512915433631191;1.0;0.0;;;;3.1878156323501887;3.187879489718881e-05
1247;PL214;6.387609628824091;0.9983205526332468;0.001679447366753184;;;;0.004391539372539035;7.387766600366712e-06
1248;PL218;8.645645038297179;0.9998241397502784;0.0001758602497216044;;;;0.0032986151570356544;5.801973188973575e-07
1249;RO424;11.512915433631191;1.0;0.0;;;;1.2359486998904934;1.235973458046935e-05
1250;PT112;4.281595531975363;0.9863678116439636;0.013632188356036412;;;;0.20759212399785937;0.002869046315341406
1251;PT119;8.505195114168759;0.999797626894583;0.0002023731054170419;;;;0.359264640460877;7.272021757287472e-05
1252;PT11A;3.279473502301054;0.9637178787434368;0.03628212125656316;;;;0.45480005632745646;0.017122345818342433
1253;PL416;6.487476441939965;0.9984799281420575;0.001520071857942451;;;;0.010706086106113266;1.629879553902841e-05
